問題番号,設問,正解,選択肢1,選択肢1解説,選択肢2,選択肢2解説,選択肢3,選択肢3解説,選択肢4,選択肢4解説,ドメイン
問題2,次の概念のうち、悪条件下でもコンポーネントの機能を維持する能力を指しているものはどれですか?,回復力,回復力,回復力とは、障害、エラー、攻撃、中断などの変化する条件や悪条件下で、システムまたはコンポーネントがその機能やパフォーマンスを維持する能力です。回復力により、システムの信頼性、可用性、セキュリティが向上します。,応答性,応答性とは、システムまたはコンポーネントがリクエストまたはイベントに応答する速度です。応答性は、システムのパフォーマンス、使いやすさ、ユーザーの満足度に影響を与える可能性があります。,可用性,可用性とは、システムまたはコンポーネントが動作可能であり、必要なときにアクセスできる度合いです。可用性は、ダウンタイム、メンテナンス、障害、攻撃などの要因によって影響を受ける可能性があります。可用性は、システムが変更や課題にどれだけうまく対処できるかではなく、システムが機能する程度・割合を示す尺度です。,スケーラビリティ,スケーラビリティとは、パフォーマンスや品質を損なうことなく、増加または減少するワークロードや要求に対処するシステムまたはコンポーネントの能力です。スケーラビリティにより、システムの効率、柔軟性、費用対効果が向上します。,Security Architecture
問題6,組織内で適切なセキュリティ管理を確実に実施するための情報セキュリティ管理システム(ISMS)のフレームワークを提供する国際標準はどれですか?,ISO/IEC 27001,ISO/IEC 27001,ISO/IEC 27001は、情報セキュリティ管理システムの要件を概説した国際規格であり、組織が財務情報、知的財産、従業員の詳細情報、第三者から委託された情報などの資産のセキュリティを管理するのに役立ちます。,ISO/IEC 27017,ISO/IEC 27017は、ISO/IEC 27001のフレームワークをクラウドサービス専用に拡張したものですが、ISMSの基本標準ではありません。,ISO/IEC 27002,ISO/IEC 27002は、ISMSのセキュリティ管理に関するガイダンスを提供しますが、フレームワーク自体は提供しません。,NIST 特別出版物 800-63,NIST SP 800-63は、デジタルIDガイドラインを提供する米国政府の標準であり、ISMSフレームワークを確立するものではありません。,Security Program Management and Oversight
問題11,Global Tech Corpでの最近のコンプライアンス監査の後、特定のビジネスプロセスが会社の文書化されたポリシーや手順と合致しなくなっていることが判明しました。最高コンプライアンス責任者のEmmaは、これらの文書を定期的に更新することの重要性を強調しました。ドキュメントを更新する最も重要な理由は次のうちどれですか?,変化・更新していく規制への対応と準拠性を維持するため,変化・更新していく規制への対応と準拠性を維持するため,定期的な更新により、現在のビジネス慣行や規制の変更との整合性が確保されます。,新しい製品やサービスを開発するため,新しい製品の開発は文意から考えて適切ではありません。,業務運営における最近の変更と現状を一致させるため,最近の変更と現状を一致させることは重要ですが、規制への対応の方がより重要と言えます。,各機器の図や仕様を常に最新の状態に保つため,図の更新はドキュメント更新において最も重要な理由とはなりません。,General Security Concepts
問題17,Kelly Innovations LLCはワイヤレスネットワークの実装をしており、有線ユーザーとワイヤレスユーザーの両方を認証するための複数のメカニズムをサポートする柔軟な認証方法を必要としています。どのプロトコルが要件に最も適しているでしょうか?,EAP(Extensible Authentication Protocol),WPA3(Wi-Fi protected access3),WPA3(Wi-Fi protected access3)は、ワイヤレスネットワークを保護するために設計されたセキュリティプロトコルです。認証メカニズムが組み込まれていますが、複数の認証方法のサポートという点ではEAPほど柔軟性や拡張性がありません。,RADIUS(リモート認証ダイヤルインユーザーサービス),RADIUS(リモート認証ダイヤルインユーザーサービス)は、ネットワークアクセスサーバーと中央サーバーの間で認証、認可、および構成情報を伝達するためのプロトコルです。EAPはメソッドの1つとしてサポートされていますが、それ自体は認証メソッドではありません。,LDAP(Light weight Directory Access Protocol),LDAP(Light weight Directory Access Protocol)は、IPネットワーク経由でディレクトリシステムにアクセスするために使用されるプロトコルです。これは主にユーザーディレクトリのクエリと認証に使用され、特に無線または有線ネットワーク認証方法の柔軟性のために使用されるわけではありません。,EAP(Extensible Authentication Protocol),EAP(Extensible Authentication Protocol)は、複数の認証方法を統合するための標準インターフェイスを提供します。ワイヤレスを含むさまざまなネットワークアクセスシナリオで使用して、基礎となる認証メカニズムを変更することなく柔軟な認証を提供できます。,Security Operations
問題27,次の攻撃者のうち、たとえ自分自身が非倫理的な行為をすることになっても、企業内の非倫理的な慣行を暴露したいという願望によって動かされている可能性が最も高いのはどれですか?,ハクティビスト,組織犯罪,組織犯罪は、詐欺やデータ窃盗など、金銭的利益を得るためにサイバー犯罪活動に従事します。,ホワイトハットハッカー,ホワイトハットハッカーは、通常は所有者の許可を得て、システム、ソフトウェア、またはネットワークの脆弱性を特定するために倫理的なハッキングを実行するサイバーセキュリティの専門家です。,国家支援をうけた攻撃者,国家の支援を受けた攻撃者は、地政学的な目的や国益をさらに高めるためにサイバー攻撃を展開します。,ハクティビスト,ハクティビストは、強い政治的、社会的、倫理的信念に動かされてシステムに侵入し、認識されている不正義や非倫理的な行為にスポットライトを当てます。,"Threats, Vulnerabilities, and Mitigations"
問題28,組織が最小限のバックアップセットを使用してシステムを復元したい場合、このシナリオに最適なバックアップタイプは次のどれですか?,完全バックアップ,完全バックアップ,完全バックアップはすべてのデータの完全なコピーであり、1つのセットでシステム全体を復元できます。,増分バックアップ,増分バックアップでは、最後のバックアップ以降に変更されたデータのみがキャプチャされるため、完全な復元には完全バックアップと並行して複数のデータセットが必要になる場合があります。,差分バックアップ,差分バックアップで完全な復元を行うには、最後の完全バックアップと最新の差分バックアップが必要です。,スナップショット,スナップショットは迅速なロールバックには効率的ですが、システム全体を回復するための完全なバックアップセットを表していない可能性があります。,Security Architecture
問題31,あなたは、多数のオンラインアカウントとシステムを管理する大規模な組織のセキュリティ管理者です。セキュリティを強化し、パスワード関連のインシデントのリスクを軽減するために、パスワード保管機能を実装することにしました。これは、パスワードをvaultという安全な場所に保存しておくことです。このシナリオにおけるパスワード保管の目的と利点を最もよく表しているのは次のどれですか?,パスワード保管機能は、パスワードを暗号化されたデータベースに保存し、パスワードを管理するための安全な一元的な場所を提供し、パスワードの再利用や漏洩のリスクを軽減します。,パスワード保管機能は、パスワードを暗号化されたデータベースに保存し、パスワードを管理するための安全な一元的な場所を提供し、パスワードの再利用や漏洩のリスクを軽減します。,パスワード保管機能は、パスワードを暗号化されたデータベースに保存し、パスワードを管理するための一元的で安全な場所を提供します。これにより、ユーザーはvault(データの保管庫)にアクセスするためのマスターパスワードを覚えておくだけで済みながら、各アカウントに一意で強力なパスワードを設定できるため、パスワードの再利用や漏洩のリスクを軽減できます。,パスワード保管では、管理を簡素化し、一貫性を確保するために、ユーザーはすべてのアカウントに同じパスワードを使用する必要があります。,valultはユーザーがアカウントごとに一意で強力なパスワードを安全に管理できるようにすることを目的としています。すべてのアカウントに同じパスワードを再使用することはセキュリティ上不適切であり、パスワード保管の目的に反します。,パスワード保管機能では、強力なパスワードが自動的に生成され、各アカウントに割り当てられるため、ユーザーはパスワードを記憶する必要がなくなります。,パスワード保管機能ではパスワードを保存および管理できますが、必ずしもパスワードが自動的に生成または割り当てられるわけではありません。ユーザーは引き続き強力なパスワードを作成する必要があり、vaultがそれらを安全に保管および管理します。,パスワード保管では、生体認証を使用して保存されたパスワードへのアクセスを許可し、許可された個人のみがパスワードを取得できるようにします。,生体認証は全体的なセキュリティ戦略の一部である可能性がありますが、パスワード保管の主な目的ではありません。,Security Operations
問題32,脅威行為者にとって、サービスの中断と脅迫の動機の違いは何ですか?,被害者への影響,攻撃の理由,サービスの中断と脅迫の動機の主な違いは、攻撃の理由ではありません。,攻撃対象,サービスの中断と脅迫の動機の主な違いは、攻撃対象ではありません。どちらも個人、組織、または政府をターゲットにする可能性があります。,被害者への影響,サービスの中断と、脅威アクターの脅迫の動機の主な違いは、被害者への影響です。サービス中断の動機は、Webサイトの改ざん、ファイルの削除など、システムやネットワークの可用性や機能性を低下させます。脅迫においては、攻撃者は被害者のデータ、評判、資産を暴露したりすると脅して、被害者から金銭やその他の利益を強要します。,攻撃の種類,攻撃の種類は、サービス中断と脅迫の主な違いではありません。どちらも、ランサムウェア、分散型サービス拒否攻撃、フィッシングなどの攻撃を伴う可能性があります。,"Threats, Vulnerabilities, and Mitigations"
問題35,Sashaの会社は、廃止されたデータベースシステムを使用しており、ベンダーからセキュリティ更新プログラムを受け取っていません。企業が軽減すべきこの脆弱性を最も適切に説明しているのは次のうちどれですか?,サポートが終了したハードウェア,サポートが終了したハードウェア,サポートが終了したハードウェアは物理的なアップデートや交換を受けられない可能性があります。開発者またはベンダーによるセキュリティパッチのサポートが終了し、パッチが適用できないことによって潜在的なセキュリティ脅威に対して脆弱になったプラットフォームのことです。,RTOS,RTOSは本問とは関係のない概念です。,古いファームウェア,古いファームウェアとは、データベースやアプリケーションなどのより広範なシステムではなく、ハードウェアデバイスに組み込まれているソフトウェアを指します。,レガシープラットフォーム,レガシープラットフォームとは、古いシステムを指す一般的な用語ですが、まだサポートが継続している可能性があります。,"Threats, Vulnerabilities, and Mitigations"
問題36,信頼やアクセスを得るために他人になりすますことを含む、ヒューマンベクトル/ソーシャルエンジニアリング攻撃の一種を指す用語は何ですか?,なりすまし,なりすまし,なりすましは、信頼やアクセスを得るために他人になりすますことを伴う、ヒューマンベクトル/ソーシャルエンジニアリング攻撃の一種です。これは、ユーザーをだまして機密情報を漏らしたり、悪意のあるアクションを実行したり、特権を付与したりするために使用される可能性があります。,プリテキシング,プリテキシングは、要求や通信を正当化するために偽のシナリオや理由を作成することを含む、ヒューマンベクター/ソーシャルエンジニアリング攻撃の一種です。これは、ユーザーをだまして機密情報を漏らしたり、悪意のあるアクションを実行したり、特権を付与したりするために使用される可能性があります。,ビジネスメール侵害,ビジネス電子メール侵害は、組織の電子メールアカウントを侵害し、それを使用して詐欺メールを送信し、受信者をだまして送金させたり機密情報を漏らしたりする、人的ベクトル/ソーシャルエンジニアリング攻撃の一種です。必ずしも他人になりすます必要はありません。,誤った情報/偽情報,誤った情報/偽情報は、人間のベクトル/ソーシャルエンジニアリング攻撃の一種であり、人々の信念や行動に影響を与えるために、誤った情報や誤解を招く情報を広めることを含みます。必ずしも他人になりすます必要はありません。,"Threats, Vulnerabilities, and Mitigations"
問題38,クラウドを提供するMassive Dynamics社の経営はうまくいっていません。彼らは、多様な従業員グループが協力して意思決定を行い、ポリシーを実行するガバナンス構造を採用していました。しかし、この構造により、政策が混乱し、安全保障戦略の内容が混沌としたものになってしまいました。大規模なデータ侵害を受けて、Massive DynamicsのCEOは会社を再編しました。その結果、意思決定とポリシーの実施は今後、社外の経験豊富な個人のグループの手に委ねられることになります。Massive Dynamicsは現在どのようなガバナンス構造になっていますか?,取締役会,政府機関,政府機関とは、特定の業界または分野を規制監督する可能性のある政府組織または政府機関です。彼らはセキュリティに関連するガイドラインや規制を提供する可能性がありますが、Massive Dynamicsのような民間組織の内部セキュリティ戦略を監督する直接の責任はありません。,委員会,委員会は、組織内で特定のタスクまたは責任を割り当てられた個人のグループです。委員会は特定のセキュリティへの取り組みを実行する役割を果たす場合がありますが、主に組織のセキュリティ戦略をより高いレベルで監督する責任はありません。,取締役会,理事会としても知られる取締役会は、組織の全体的な方向性とガバナンスを監督する責任があります。彼らの責任には、組織のセキュリティ戦略を設定および承認し、それがビジネス目標と一致していることを確認し、効果的なセキュリティ対策が講じられていることを確認するためのガイダンスを提供することが含まれます。,集中的,集中的な構造とは、意思決定とポリシーの実装を担当する組織内の単一の集中管理機関を指します。この概念はセキュリティ管理の特定の側面に適用できますが、組織のセキュリティ戦略を監督する責任を負う主要なエンティティではありません。,Security Program Management and Oversight
問題40,Dion Training Solutionsは、従業員が退職しても、そのアカウントが長期間アクティブなままになっていることが多いことに気づきました。ITチームは、元従業員がこれらのアカウントにアクセスする可能性があることを懸念しています。パスワードを変更した後、アカウントが一定期間のみアクティブになるようにするには、どのような解決策がありますか？,パスワードの最大有効期間を実装します,数回誤った試行を行うと、アカウントのロックアウトが導入されます,数回誤った試行を行った後にアカウントをロックアウトすることは、総当たり攻撃に対しては役立ちますが、アカウントの休止状態には直接対処できません。,パスワードの最大有効期間を実装します,パスワードの最大有効期間を実装すると、パスワードが更新されない場合、設定された期間後に期限切れになります。,パスワード履歴ポリシーを実装します,パスワード履歴ポリシーを実装すると、古いパスワードの再利用が防止されますが、一定期間後のパスワード変更は必須ではありません。,パスワードの複雑さのチェッカーを使用します,パスワードの複雑さのチェッカーを使用すると、強力なパスワードが保証されますが、タイムリーなパスワード更新は保証されません。,Security Operations
問題43,組織の戦略的方向性とポリシーを設定するものであり、重要な情報に関して専門性を有する人も含めて最終的な意思決定をすることが多い委員会は次のうちどれですか?,ガバナンス委員会,運営管理委員会,運営管理委員会は戦略計画には関与していますが、ガバナンス委員会が持つ最終的な権限はありません。,政策審議会,政策審議会は政策の策定に影響を与える可能性がありますが、全体的な戦略的方向性を設定したり、ガバナンス委員会のような最終的な意思決定権限を持つことはありません。,戦略委員会,戦略委員会は意思決定を支援しますが、戦略的な方向性を設定したり、最終的な意思決定の権限を持ったりすることはありません。,ガバナンス委員会,ガバナンス委員会は経営幹部で構成され、この組織は組織内の戦略的意思決定とポリシー設定を担当します。,Security Program Management and Oversight
問題49,次の用語のうち、国民の個人データがどのように収集、保存、処理されるべきかを規定する、国の政府によって定められた特定の法律や規制を指すものはどれですか?,国内の法的影響,一般データ保護規則(GDPR),GDPRは、すべての国民のデータ保護とプライバシーを確保するために欧州連合によって制定された規制です。,データ暗号化,データ暗号化は、データをコードに変換することで不正アクセスから保護するために使用される方法です。,国内の法的影響,国内の法的影響とは、データ保護とプライバシーの要件と境界を概説する国レベルで定められた法律と規制です。,同意管理,同意管理は、個人データを収集または処理する前に、組織が個人の同意を確実に取得して管理するプロセスです。,Security Program Management and Oversight
問題50,Unlucky Dog Softwareは、警備会社と契約して警備員を配置したいと考えています。彼らは、これにより会社の物理的なセキュリティが向上することを期待しています。警備会社と契約して警備員を雇用するセキュリティ管理は次のタイプのうちどれですか?,管理上の,物理的な,物理的セキュリティ管理は、組織の物理的資産の保護を伴う対策です。これらのコントロールには、セキュリティカメラ、ロック、セキュリティバッジが含まれる場合があります。警備員は物理的管理の一部ですが、警備会社と契約して警備員を派遣することは、組織のセキュリティ全体を指揮し、監督する必要があるため、管理上のセキュリティ管理となります。,運営上の,運用上のセキュリティ管理は、組織のセキュリティの日常的な運用に関わる対策です。これらの制御には、バックアップとリカバリの手順、構成管理、メディア保護が含まれます。,技術的な,技術的なセキュリティ管理は、システムまたはネットワークの機密性、完全性、可用性を保護するために導入される対策です。これらの制御には、ファイアウォール、侵入検出/防御システム、暗号化、アクセス制御が含まれます。,管理上の,管理上のセキュリティ管理は、組織の全体的なセキュリティを指示および監督することを含む対策です。これらの管理には、リスク評価、セキュリティ意識向上トレーニング、インシデント対応計画、およびサードパーティプロバイダーを含むサービスの取得が含まれます。,General Security Concepts
問題52,Kelly Innovations LLCのセキュリティアナリストであるSusanは、IPSからのアラートを確認しています。彼女は、シグネチャベースの検出から偽陽性のパターンを認識しました。シグネチャベースの検出システムにおける偽陽性の原因として考えられるのは次のうちどれですか?,シグネチャのチューニングがされていないため,システムは古いシグネチャでのみ更新されているため,古いシグネチャは新しい脅威を見逃す可能性がありますが、通常は偽陽性の原因にはなりません。,シグネチャデータベースが揮発性メモリに保存されているため,シグネチャベースの検出は、暗号化されているかどうかにかかわらず、トラフィックパターンを検査することによって機能します。,IPSは暗号化されたトラフィックのみをスキャンします,暗号化されたトラフィックが偽陽性の原因になる可能性は低いです,シグネチャのチューニングがされていないため,シグネチャがあいまいで正確に定義されていない場合、正規のネットワークトラフィックと誤って一致してしまい、偽陽性が発生する可能性があります。,Security Operations
問題68,IT企業であるKelly Innovations Corpは、共有鍵を使って暗号化通信をするための実装をしています。これを最もよく説明しているのは次のうちどれですか?,鍵交換,非対称暗号化,非対称暗号化では、暗号化と復号化に異なる鍵が使用されますが、暗号鍵の交換は必要ありません。,鍵交換,鍵交換は、通信する2つの当事者が共有秘密鍵を確立するプロセスであり、通常は対称暗号化に使用されます。この鍵は、たとえ盗聴者が鍵交換メッセージを傍受したとしても、共有鍵を特定できないような方法で確立されます。鍵交換の最も一般的な方法は、Diffie-Hellmanプロトコルです。,対称暗号化,対称暗号化では、暗号化と復号化の両方に同じキーが使用されますが、暗号鍵の交換は必要ありません。,ハッシュ化,ハッシュには、入力データ(メッセージと呼ばれることが多い)を固定長のバイト文字列に変換することが含まれます。これは主にデータの整合性チェックに使用され、元に戻すことはできません。つまり、ハッシュから元の入力を取得することはできません。したがって、暗号鍵を交換したり、通信のための共有秘密を確立したりする目的には適していません。,General Security Concepts
問題77,あなたは、機密性の高い顧客データと金融取引を扱う企業のセキュリティコンサルタントです。この組織は、転送中のデータのセキュリティの懸念をしており、転送中のデータの機密性と完全性を強化したいと考えています。転送方法に関連し、送信中のデータセキュリティを強化する最も効果的な方法は、次のアプローチのうちどれですか?,送信時にデータを暗号化するためのSSLを実装します,QoS（サービス品質）を有効にして、送信中に機密データパケットを優先します,サービス品質(QoS)は、ネットワークトラフィックに優先順位を付け、アプリケーションタイプやデータタイプなどのさまざまな基準に基づいて帯域幅を割り当てるために使用されます。QoSはネットワークのパフォーマンスを向上させ、機密データのタイムリーな配信を保証しますが、送信中のデータの暗号化という主な懸念には対処できません。,送信時にデータを暗号化するためのSSLを実装します,SecureSocketsLayer(SSL)の実装は、送信中のデータのセキュリティを強化する効果的なアプローチです。SSL(およびその後継であるTransportLayerSecurity(TLS))は、エンドツーエンドの暗号化を提供し、データが送信者から送信される前に暗号化され、受信者への到着時に復号されることを保証します。これにより、ネットワーク上を移動する機密データが無許可の第三者によって傍受され、読み取られることが防止されます。,スイッチの代わりにネットワークハブを使用して、送信中のデータの衝突を回避します,ネットワークハブは時代遅れであり、最新のネットワークインフラストラクチャでは主にスイッチに置き換えられています。スイッチの代わりにハブを使用しても、送信中のデータのセキュリティには貢献しません。実際、ハブは接続されているすべてのデバイスにデータをブロードキャストするため、安全性が低く、権限のない者による盗聴の可能性があります。,すべてのデータを安全な暗号化トンネル経由でルーティングするようにVPNを設定します,仮想プライベートネットワーク(VPN)は、2つのエンドポイント間に安全な暗号化トンネルを確立し、トンネルを通過するデータの機密性を確保し、盗聴や改ざんから保護します。このアプローチは効果的な場合もありますが、特にWebベースのアプリケーションや公開サービスの場合、最も効果的とは言えません。,Security Operations
問題81,次の用語のうち、組織などによって収集、保持、または処理される個人データそのものを指す言葉はどれですか?,データ主体,データ保持,データ保持は、企業が特定の種類の情報を保持しなければならない期間を規定する一連のポリシーまたは規制です。,データコントローラー,データコントローラーは、個人データを処理する目的と手段を決定する組織または個人です。彼らは、適用されるプライバシー法および規制に従ってデータ処理が確実に実行されることを保証する全体的な責任を負います。,データ処理者,データ処理者は、コントローラに代わってデータを処理する役割を有しています。,データ主体,データ主体とは、組織または団体によって収集、保持、または処理されている個人情報そのものです。,Security Program Management and Oversight
問題82,特に専門知識を必要とする分野において、情報に基づいた意思決定を支援するためにガバナンス委員会に詳細な分析と推奨事項を提供する責任を負っているのは次の組織のうちどれですか?,委員会,諮問委員会,諮問委員会もアドバイスを提供する場合がありますが、ガバナンス委員会に対する詳細な分析と勧告のみを担当するわけではありません。,経営陣,経営陣の中の個人は、最終的な意思決定権限を持つガバナンス委員会の一員ですが、委員会のように特定の問題に焦点を当てることはありません。,委員会,委員会は、専門的な分析と推奨事項によってガバナンス委員会をサポートする対象分野の専門家を含む専門グループです。,管理グループ,管理グループは通常、ガバナンス委員会に専門的なサポートを提供するのではなく、日常の運用上の決定を処理します。,Security Program Management and Oversight
問題86,インシデント対応における訴訟ホールド(Legal Hold)の重要性を最もよく説明しているのは次のどれですか?,セキュリティインシデントに関連する証拠を確保および保存するプロセスです,セキュリティインシデントに関連する証拠を確保および保存するプロセスです,訴訟ホールドは、法的手続きで使用される可能性があるセキュリティインシデントに関連する証拠を確保および保存するプロセスです。セキュリティインシデントが発生した場合、潜在的な調査、法的措置、または規制要件をサポートするために、関連するすべてのデータと証拠を保存することが不可欠です。訴訟ホールドにより、インシデントに関連するデータ、ログ、およびその他の情報が改ざんまたは削除されないことが保証され、必要に応じて証拠として使用できるようになります。,インシデントの責任者を特定し、法的手続きを支援します,インシデントの責任のある個人またはグループを特定することは法的手続きにとって有益である可能性がありますが、訴訟ホールド自体は主に証拠を保存し、潜在的な法的措置に備えて完全性を確保することに重点を置いています。,発生した事件に対して法執行機関が企業に対して捜索令状を発行するときに発生します,訴訟ホールドは法執行機関の捜索令状プロセスの一部ではありません。これらは、法的手続きが行われた場合に証拠を確実に保存するための方法です。,インシデント中に違反された可能性のある法律を特定して分類するプロセスです,訴訟ホールドは、違反した可能性のある法律の分類とは関係なく、むしろ法的手続きが行われた場合に証拠が確実に保存されるようにするものです。,Security Operations
問題4,Webサービスとユーザーのやり取りを考慮した場合、IDの安全な作成と転送、および不正アクセスを防ぐための非アクティブ制限の強制を含むセキュリティ対策は次のうちどれですか?,セッション管理,タイムアウトポリシー,タイムアウトポリシーは、非アクティブなセッションをいつ終了するかを定義することでこれらの実践に貢献しますが、識別子の安全な送信と生成は含まれません。,セッションクッキー,セッションCookieは管理対象の一部ですが、この用語だけでは非アクティブ制限の設定などの実践の全範囲を網羅するものではありません。,セッション管理,セッション管理は、一意の識別子または「Cookie」の安全な作成と転送、およびユーザーが一定期間非アクティブな場合にセッションを自動的に終了する非アクティブ制限の設定など、Web上でのユーザー操作のセキュリティを維持するプロトコルを指します。,トークンの処理,トークン処理には、システム内のセキュリティトークンの管理が含まれますが、それ自体では、非アクティブ制限の設定など、ユーザーインタラクションのセキュリティを維持するために必要なすべての側面をカバーしているわけではありません。,Security Program Management and Oversight
問題7,社内の別々の部門または分野で自律的な意思決定を可能にする組織構造を最も適切に説明しているものは次のうちどれですか?,分散型ガバナンス,階層的な管理,階層的な管理は、意思決定に対するトップダウンのアプローチを意味し、必ずしも別の部門の自律性を許可するものではありません。,マトリックス構造,マトリックス構造には複数のレポートラインが含まれますが、部門の意思決定の自律性のみを定義するものではありません。,分散型ガバナンス,分散型ガバナンスでは、意思決定がさまざまな部門または部門に分散され、対応性と専門性が促進されます。,フラットな組織,フラットな組織とは、スタッフと経営陣の間に中間管理職がほとんどまたはまったく存在しない組織を指します。これは管理層に影響を与えますが、必ずしも意思決定の配分には影響しません。,Security Program Management and Oversight
問題10,次の強化技術のうち、辞書によるパスワードのクラッキングを防ぐのに最も効果的なのはどれですか?,デフォルトのパスワードの変更,隔離,隔離は、マルウェアの相互作用や通信を制限することで、あるシステムまたはプロセスから別のシステムまたはプロセスにマルウェアが拡散するのを防ぐのに役立つ軽減手法です。隔離には、サンドボックス化するか、感染したシステムを単に切断することが含まれます。これにより、悪意のある可能性のあるプログラムやスクリプトがシステムやネットワークの残りの部分にアクセスするのを防ぎます。,ポートとプロトコルの無効化,ポートとプロトコルを無効にすることは、潜在的な攻撃への露出を減らすのに役立つ強化手法です。これはファイアウォール、スイッチ、ルーター、ホスト上で実行でき、システムやデバイスの通常の動作に必要のないネットワークポートやプロトコルを閉じるかブロックします。ポートは、ネットワークトラフィックの宛先または送信元を指定する数値識別子であり、プロトコルは、ネットワークトラフィックのフォーマットまたは送信方法を定義するルールまたは標準です。これは強化には優れた手法ですが、辞書攻撃を防ぐことはできません。,デフォルトのパスワードの変更,デフォルトのパスワードの変更は、システムやデバイスに対する一部のパスワード攻撃の防止に役立つ強化技術です。これは、デフォルトまたは工場出荷時に設定されたパスワードを変更することによって行われますが、これらのパスワードは再利用されたり、小さなパスワードのプールから抽出されることが多いため、自動ツールや辞書によって簡単に解読される可能性があります。パスワードマネージャー、パスワードジェネレーター、およびセキュリティポリシーを使用すると、システムやデバイスごとに強力で一意のパスワードを作成し、その使用を強制できます。,エンドポイント保護のインストール,エンドポイント保護のインストールには、システムまたはデバイスへのウイルス対策、マルウェア対策、およびファイアウォールソフトウェアのインストールが含まれます。このソフトウェアは、システムとデバイスを既知の脆弱性から保護するのに役立ちます。パスワードを解読しようとする試みを検出する可能性がありますが、辞書攻撃を防ぐには、デバイスのデフォルトのパスワードを変更する方がより効果的です。,"Threats, Vulnerabilities, and Mitigations"
問題21,セキュリティ担当官のKishaは、勤務する工場に暗号化プロトコルを導入しています。工場では、古い機器でも動作する無線暗号化プロトコルが必要です。工場は遠隔地にあり、機器はそのエリア内の他の機器に接続するだけでよいため、信頼性の高い暗号化プロトコルが必要ですが、最新かつ最も安全なプロトコルは必要ありません。彼らは、鍵を使用して各パケットを暗号化するプロトコルを好みます。次のオプションのうち、必要な暗号化プロトコルを最もよく表しているものはどれですか?,TKIP,WPA,WPAはWi-Fi Protected Accessの略で、暗号化プロトコルとしてTKIPまたはAESを使用するセキュリティ標準です。WPAは特定の暗号化プロトコルを指すのではなく、ワイヤレスセキュリティを確保するための一連の機能と要件を指します。,WEP,WEPはWired Equivalent Privacyの略で、キーを使用してデータの各パケットを暗号化する暗号化プロトコルです。ただし、WEPは変更されない静的キーを使用するため、非常に安全性が低く、簡単にクラックされます。WEPはワイヤレスネットワーク用の最初の暗号化プロトコルでしたが、廃止されたため、使用してはいけません。,AES,AESはAdvanced Encryption Standardの略で、データの各パケットの暗号化にキーを使用しない暗号化プロトコルです。代わりに、AESは単一のキーでデータストリーム全体を暗号化する対称キーアルゴリズムを使用します。AESはワイヤレスネットワークにとって最も安全で効率的な暗号化プロトコルですが、WPA2をサポートするデバイスが必要です。古いデバイスはAESと互換性がない可能性があります。,TKIP,TKIPはTemporal Key Integrity Protocolの略で、キーを使用してデータの各パケットを暗号化する暗号化プロトコルです。TKIPは、WEPを置き換えるためにWPAによって導入され、WPA2またはAESをサポートしない古いデバイスと互換性があります。,Security Operations
問題30,デジタルフォレンジックの分野において、デジタル証拠の保管過程を維持するために最も重要な活動はどれですか?,誰が証拠を扱ったかを文書化します,デジタル証拠保管システムをネットワークアクセスから隔離します,この措置は保管過程よりもむしろ保存の方法に関するものです。,証拠を分析した後、調査結果の包括的な要約を作成します,調査結果を報告することは重要ですが、証拠の保管過程を維持するプロセスに直接対処するものではありません。,誰が証拠を扱ったかを文書化します,保管過程においては、証拠に関与した各個人を記録し、法廷での証拠の完全性と証拠能力を確保することが重要です。,暗号化ハッシュを利用して、保存された証拠の完全性を確認します,デジタル証拠の完全性を確保することは重要ですが、それは保管過程よりもむしろ保存段階に関係します。,Security Operations
問題32,次の用語のうち、権限のあるエンティティによる要求に応じてデータにアクセスし、使用できる状態を維持することを意味するものはどれですか?,可用性,認証,認証は、ユーザーまたはシステムに付与されるアクセスまたは権限のレベルを定義します。,機密保持,機密保持により情報のアクセスと開示が制限され、許可されたアクセスのみが保証されます。,完全性,完全性は、変更が許可されない限り、情報の信頼性が維持され、元の状態から変更されていないことを確認します。,可用性,可用性は、承認されたエンティティが必要なときにシステムやデータなどのリソースにアクセスできることを保証します。,General Security Concepts
